,WO1,WO1_staff,WO2,WO2_staff,WO3,WO3_staff,WO4,WO4_staff,WO5,WO5_staff,WO6,WO6_staff
WP1,25, B1 Technician,15," B1 Technician, B1 Technician",,,,,,,,
WP2,20, B1 Technician,20, B1 Technician,,,,,,,,
WP3,40," B1 Technician,B1 Technician",20, B1 Technician,,,,,,,,
WP4,25, B1 Technician,5, B1 Technician,,,,,,,,
WP5,20, B1 Technician,10," B1 Technician, B1 Technician",10," B1 Technician, B1 Technician",,,,,,
WP6,10,"B2 Technician, B2 Technician",20,"B2 Technician, B2 Technician",,,,,,,,
WP7,15,"B2 Technician, B2 Technician",15,B2 Technician,,,,,,,,
WP8,10,"B1 Technician, B1 Technician",20,"B1 Technician, B1 Technician",,,,,,,,
WP9,25,B1 Technician,25,"B1 Technician, B1 Technician",10,B1 Technician,,,,,,
WP10,30,"B1 Technician, B1 Technician, B1 Technician",30,"B1 Technician, B1 Technician",,,,,,,,
WP11,30,"B2 Technician, B2 Technician",,,,,,,,,,
WP12,20,"B2 Technician, B2 Technician",20,B2 Technician,,,,,,,,
WP13,15,B1 Technician,25,B2 Technician,20,,,,,,,
WP14,30,B1 Technician,15,"B1 Technician, B1 Technician",15,,,,,,,
WP15,40,B1 Technician,40,"B1 Technician, B1 Technician, B1 Technician",,,,,,,,
WP16,40,"B1 Technician, B1 Technician, B1 Technician",20,B1 Technician,20,B1 Technician,,,,,,
WP17,20,B1 Technician | B2 Technician,50,"B1 Technician, B2 Technician",10,"B1 Technician, B2 Technician",,,,,,
WP18,20,"B1 Technician, B1 Technician, B1 Technician",40,"B1 Technician, B1 Technician",20,"B1 Technician, B1 Technician,B1 Technician",,,,,,
WP19,20,B1 Engineer,60,"B1 Engineer,B1 Engineer,B1 Engineer",120,"B1 Engineer,B1 Engineer,B1 Engineer",100,"B1 Engineer,B1 Engineer,B1 Engineer",40,"B1 Engineer,B1 Engineer,B1 Engineer",20,B1 Engineer
WP20,45,"B1 Engineer,B1 Engineer,B1 Engineer",20,"B1 Engineer,B1 Engineer,B1 Engineer",45,B1 Engineer,45,B1 Engineer,100,"B1 Engineer,B1 Engineer",45,B1 Engineer
WP21,55,B2 Engineer,20,"B2 Engineer,B2 Engineer,B2 Engineer",35,B2 Engineer,25,"B2 Engineer,B2 Engineer,B2 Engineer",55,B2 Engineer,50,"B2 Engineer,B2 Engineer,B2 Engineer"
WP22,20,"B2 Engineer,B2 Engineer,B2 Engineer",30,"B2 Engineer,B2 Engineer,B2 Engineer",45,"B2 Engineer,B2 Engineer,B2 Engineer",35,"B2 Engineer,B2 Engineer,B2 Engineer",50,"B2 Engineer,B2 Engineer,B2 Engineer",,
WP23,60,"B1 Engineer, B2 Engineer, B1 Engineer| B2 Engineer",45,"B1 Engineer, B2 Engineer, B1 Engineer| B2 Engineer",100,"B1 Engineer, B2 Engineer, B1 Engineer| B2 Engineer",45, B1 Engineer| B2 Engineer,50,   B1 Engineer| B2 Engineer,,
WP24,55,"B1 Engineer,B1 Engineer,B1 Engineer",35,"B1 Engineer,B1 Engineer,B1 Engineer",25,"B1 Engineer,B1 Engineer,B1 Engineer",25,"B1 Engineer,B1 Engineer",45,B1 Engineer,55,B1 Engineer
