Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,16/10/2025,05:03,16/10/2025,06:51,01:48,"WP4, WP13"
102,16/10/2025,08:40,16/10/2025,10:16,01:36,WP16
103,16/10/2025,06:43,16/10/2025,08:07,01:24,"WP8, WP5"
104,16/10/2025,16:52,16/10/2025,17:28,00:36,WP7
105,16/10/2025,14:31,16/10/2025,15:43,01:12,WP13
106,16/10/2025,04:17,16/10/2025,14:05,09:48,"WP11, WP23, WP5, WP3, WP3"
107,16/10/2025,07:23,16/10/2025,14:59,07:36,"WP20, WP1, WP2"
108,16/10/2025,06:43,16/10/2025,15:19,08:36,"WP5, WP19, WP6"
109,16/10/2025,05:36,16/10/2025,06:48,01:12,WP9
110,16/10/2025,22:32,17/10/2025,00:08,01:36,WP17
111,16/10/2025,21:36,17/10/2025,00:00,02:24,"WP18, WP12"
112,16/10/2025,13:59,16/10/2025,15:47,01:48,"WP10, WP6"
113,16/10/2025,06:45,16/10/2025,11:33,04:48,WP21
114,16/10/2025,13:58,16/10/2025,15:22,01:24,"WP12, WP6"
115,16/10/2025,16:41,17/10/2025,09:29,16:48,"WP23, WP24, WP14, WP24"
116,16/10/2025,09:53,16/10/2025,15:17,05:24,"WP24, WP4"
117,16/10/2025,11:20,16/10/2025,12:56,01:36,WP15
118,16/10/2025,01:19,16/10/2025,17:31,16:12,"WP6, WP1, WP19, WP1, WP2, WP20"
119,16/10/2025,12:18,16/10/2025,17:54,05:36,"WP22, WP14, WP5"
120,16/10/2025,07:23,16/10/2025,20:59,13:36,"WP19, WP22, WP18, WP3"
